State A,State A name,Conti-guity ,Shared river,Number shared rivers,Type of shared river,River(s),Length of river boundaries,Total length,Drainage basin(s),Size of basin in  km2,Total,Size of basin in state A,Total,Size of basin in state B,Total,Upstream State,Upstream State average,State B,State B name,Conti-guity start year,Conti-guity end year,,,,
2,USA,1,1,8,4,"St. Lawrence, 
Niagara River, Detroit River, 
St. Clair, Pigeon River, 
290,Poland,1,1,1,2,Dvina,0,0,0,0,0,0,0,0,0,A,1,367,Latvia,1919,1938,,,,
290,Poland,1,1,3,4,"Neman, Vilnya, Disna",0,0,0,0,0,0,0,0,0,"A,A,B",1,368,Lithuania,1920,1938,,,,
290,Poland,1,1,1,1,Lyna,0,0,0,0,0,0,0,0,0,A,1,368,Lithuania,1991,2016,,,,
290,Poland,1,1,2,4,"Bug, San",0,0,0,0,0,0,0,0,0,"B,B",2,369,Ukraine,1991,2016,,,,
290,Poland,1,1,2,4,"Bug, Narew",0,0,0,0,0,0,0,0,0,"A,A",1,370,Belarus,1991,2016,,,,
300,Austria-Hungary,1,1,8,4,"Adige, Bacchiglione, Brenta, Cismon, Piave, Matisone, Iudrio, Isonzo",0,0,0,0,0,0,0,0,0,"A,A,A,A,A,A,A,A",1,325,Italy/Sardinia,1816,1917,,,,
300,Austria-Hungary,1,1,2,1,"Po, Po di Goro",0,0,Po,74300,74300,0,0,0,0,"A,A",1,327,Papal States,1816,1859,,,,
300,Austria-Hungary,1,1,1,3,Secchia,0,0,Po,74300,74300,0,0,0,0,B,2,332,Modena,1842,1859,,,,
300,Austria-Hungary,1,1,1,1,Po,0,0,Po,74300,74300,0,0,0,0,A,1,335,Parma,1851,1858,,,,
300,Austria-Hungary,1,1,4,4,"Donau, Sava, Una, Neretva",0,0,Donau,796250,796250,0,0,0,0,"A,A,B,B",3,345,Yugoslavia (Serbia),1878,1917,,,,
300,Austria-Hungary,1,1,12,4,"Retezatului, Gilart, Iltul, Arger, Dimbo, Buzau, Trotusul, Bistrita, Moldova, Siret, Suceava, Jijia",0,0,Donau,796250,796250,0,0,0,0,"A,A,A,A,A,A,A,A,A,A,A,A",1,360,Romania,1878,1917,,,,
300,Austria-Hungary,1,1,7,4,"Raba, Wista, Wistok, San, Dnestr, Zbruch, Belyy Cheremosh",0,0,Wista,193000,193000,0,0,0,0,"A,A,A,A,A,B,B",1,365,Russia (USSR),1816,1917,,,,
300,Austria-Hungary,1,1,19,4,"Jija, Suceava, Siret, Moldova, Ghcmalau, Bistrita, Trotusul, Buzau, Dimbo, Arges, Oltul, Gilort, Retezatului, Donau, Sava, Una, Korana, Neretva, Glina",0,0,Donau,796250,796250,0,0,0,0,"A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A",1,640,Turkey/Ottoman Empire,1816,1912,,,,
305,Austria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,Hungary,1919,1937,,,,
305,Austria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,Hungary,1955,2016,,,,
305,Austria,1,1,5,4,"Danube, Morava, Dyje, Luznice, Malse","10, 80, 15, 10, 20",135,"Donau, Elbe","796250, 144500",940750,"79549, 1400",80949,"66369, 49700",116069,"B,A",3,315,Czechoslovakia,1919,1937,,,,
305,Austria,1,1,5,4,"Danube, Morava, Dyje, Luznice, Malse","10, 80, 15, 10, 20",135,"Donau, Elbe","796250, 144500",940750,"79549, 1400",80949,"66369, 49700",116069,"B,A",3,315,Czechoslovakia,1955,1992,,,,
305,Austria,1,1,3,4,"Dyje, Luznice, Malse","10, 10, 20",40,"Donau, Elbe","796250, 144500",940750,"79549, 1400",80949,"66369, 49700",116069,"B,A",3,316,The Czech Republic,1993,2016,,,,
305,Austria,1,1,2,4,"Danube, Morava","10, 80",90,Donau,796250,796250,79549,79549,66369,66369,"A,B",3,317,Slovakia,1993,2016,,,,
305,Austria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,Italy/Sardinia,1919,1937,,,,
305,Austria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,Italy/Sardinia,1955,2016,,,,
305,Austria,1,1,1,2,Mura,35,35,Donau,796250,796250,79549,79549,179000,179000,A,1,345,Yugoslavia (Serbia),1919,1937,,,,
305,Austria,1,1,1,2,Mura,35,35,Donau,796250,796250,79549,79549,179000,179000,A,1,345,Yugoslavia (Serbia),1955,1991,,,,
305,Austria,1,1,1,2,Mura,35,35,Donau,796250,796250,0,0,0,0,A,1,349,Slovenia,1992,2016,,,,
310,Hungary,1,1,6,4,"Danube, Ipel, Sajò, Tisza, Tissa, Borshava","165, 120, 20",305,Donau,796250,796250,93030,93030,66369,66369,"B,B,B,B,B,B",2,315,Czechoslovakia,1919,1938,,,,
310,Hungary,1,1,3,4,"Danube, Ipel, Sajò ","165, 120, 20",305,Donau,796250,796250,93030,93030,66369,66369,"B,B,B",2,315,Czechoslovakia,1945,1992,,,,
310,Hungary,1,1,3,4,"Danube, Ipel, Sajò ","165, 120, 20",305,Donau,796250,796250,0,0,0,0,"B,B,B",2,317,Slovakia,1993,2016,,,,
310,Hungary,1,1,4,4,"Dràva, Mura, Danube, Tisza",0,0,Donau,796250,796250,0,0,0,0,"B,B,A,A",3,344,Croatia,1992,2016,,,,
310,Hungary,1,1,2,1,"Dràva, Mura","120, 40",160,Donau,796250,796250,93030,93030,179000,179000,"B,B",2,345,Yugoslavia (Serbia),1919,1940,,,,
310,Hungary,1,1,2,1,"Dràva, Mura","120, 40",160,Donau,796250,796250,93030,93030,179000,179000,"B,B",2,345,Yugoslavia (Serbia),1944,2016,,,,
310,Hungary,1,1,2,3,"Kerka, Zala",0,0,Donau,796250,796250,93030,93030,0,0,"B,B",2,349,Slovenia,1992,2016,,,,
310,Hungary,1,1,1,2,Maros,25,25,Donau,796250,796250,93030,93030,233000,233000,B,2,360,Romania,1919,2016,,,,
310,Hungary,1,1,1,2,Tisa,20,20,Donau,796250,796250,93030,93030,41500,41500,B,2,365,Russia (USSR),1939,1940,,,,
310,Hungary,1,1,1,2,Tisa,20,20,Donau,796250,796250,93030,93030,41500,41500,B,2,365,Russia (USSR),1944,1990,,,,
310,Hungary,1,1,1,2,Tisa,20,20,Donau,796250,796250,0,0,0,0,B,2,369,Ukraine,1991,2016,,,,
315,Czechoslovakia,1,1,1,2,Tisa,0,0,Donau,796250,796250,0,0,0,0,B,2,360,Romania,1918,1938,,,,
315,Czechoslovakia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,Russia (USSR),1945,1990,,,,
315,Czechoslovakia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,Ukraine,1991,1992,,,,
316,The Czech republic,1,1,1,1,Morova,0,0,0,0,0,0,0,0,0,A,1,317,Slovakia,1993,2016,,,,
317,Slovakia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,Ukraine,1993,2016,,,,
325,Italy/Sardinia,1,1,6,4,"Tronto, Valino, Salto, Turano, Liri, Sacco",0,0,0,0,0,0,0,0,0,"B,B,B,A,B,A",2,329,Two Sicilies,1860,1860,,,,
325,Italy/Sardinia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,San Marino,1992,2016,,,,
325,Italy/Sardinia,1,1,2,4,"Vara, Magra",0,0,0,0,0,0,0,0,0,"A,B",3,332,Modena,1842,1859,,,,
325,Italy/Sardinia,1,1,3,4,"Tidone, Trebbia, Taro",0,0,Po,74300,74300,0,0,0,0,"A,A,B",1,335,Parma,1851,1859,,,,
325,Italy/Sardinia,1,1,1,2,Idrija,20,20,Isonzo,2800,2800,1350,1350,1450,1450,B,2,345,Yugoslavia (Serbia),1918,1940,,,,
325,Italy/Sardinia,1,1,1,2,Idrija,20,20,Isonzo,2800,2800,1350,1350,1450,1450,B,2,345,Yugoslavia (Serbia),1944,1991,,,,
325,Italy/Sardinia,1,1,1,2,Idrija,20,20,Isonzo,2800,2800,1350,1350,1450,1450,B,2,349,Slovenia,1992,2016,,,,
327,Papal States,1,1,4,4,"Tronto, Velino, Liri, Sacco",0,0,0,0,0,0,0,0,0,"B,B,B,A",2,329,Two Sicilies,1816,1859,,,,
327,Papal States,1,1,1,3,Panaro,0,0,Po,74300,74300,0,0,0,0,B,2,332,Modena,1842,1859,,,,
327,Papal States,1,1,14,4,"Reno, Savena, Idice, Sillaro, Santerno, Senio, Lamone, Fogiia, Marecchia, Tiberina, Nestore, Niccone, Paglia, Fiora",0,0,0,0,0,0,0,0,0,"B,B,B,B,B,B,B,B,B,B,B,B,B,B",2,337,Tuscany,1816,1859,,,,
332,Modena,1,1,1,1,Enza,0,0,0,0,0,0,0,0,0,A,1,335,Parma,1851,1859,,,,
332,Modena,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,Tuscany,1842,1859,,,,
339,Albania,1,1,1,2,Drin-i-zi,0,0,Drin,17100,17100,7600,7600,9500,9500,B,2,343,Macedonia,1993,2016,,,,
339,Albania,1,1,2,2,"Drin-i-zi, Boyana","10, 20",30,Drin,17100,17100,7600,7600,9500,9500,"B,B",2,345,Yugoslavia (Serbia),1914,1938,,,,
339,Albania,1,1,2,2,"Drin-i-zi, Boyana","10, 20",30,Drin,17100,17100,7600,7600,9500,9500,"B,B",2,345,Yugoslavia (Serbia),1944,2016,,,,
339,Albania,1,1,1,3,Vijosë,10,10,Vijosë,6900,6900,5100,5100,1800,1800,B,2,350,Greece,1914,1938,,,,
339,Albania,1,1,1,3,Vijosë,10,10,Vijosë,6900,6900,5100,5100,1800,1800,B,2,350,Greece,1944,2016,,,,
343,Macedonia,1,1,2,4,"Pcinja, Vardar",0,0,0,0,0,0,0,0,0,"B,B",2,345,Yugoslavia (Serbia),1993,2016,,,,
343,Macedonia,1,1,2,3,"Vardar, Mikrà Prèspa",0,0,0,0,0,0,0,0,0,"B,A",3,350,Greece,1993,2016,,,,
343,Macedonia,1,1,1,3,Strumitsa,0,0,0,0,0,0,0,0,0,A,1,355,Bulgaria,1993,2016,,,,
344,Kroatia,1,1,2,4,"Danube, Bosut",0,0,0,0,0,0,0,0,0,"A,A",1,345,Yugoslavia (Serbia),1992,2016,,,,
344,Kroatia,1,1,5,4,"Sava, Una, Glina, Korana, Neretva",0,0,0,0,0,0,0,0,0,"A,B,B,A,B",2,346,Bosnia-Hercegovina,1992,2016,,,,
344,Kroatia,1,1,5,4,"Drava, Mura, Kupa, Sava, Sutla",0,0,0,0,0,0,0,0,0,"B,B,A,B,A",2,349,Slovenia,1992,2016,,,,
345,Yugoslavia (Serbia),1,1,5,4,"Drina, Lim, Cehotina, Tara, Priva",0,0,0,0,0,0,0,0,0,"B,A,A,A,A",1,346,Bosnia-Hercegovina,1992,2016,,,,
345,Yugoslavia (Serbia),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,Greece,1913,1940,,,,
345,Yugoslavia (Serbia),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,Greece,1944,1992,,,,
345,Yugoslavia (Serbia),1,1,1,2,Timok,20,20,Donau,796250,796250,179000,179000,42500,42500,A,1,355,Bulgaria,1908,1940,,,,
345,Yugoslavia (Serbia),1,1,1,2,Timok,20,20,Donau,796250,796250,179000,179000,42500,42500,A,1,355,Bulgaria,1944,2016,,,,
345,Yugoslavia (Serbia),1,1,1,2,Donau,240,240,Donau,796250,796250,179000,179000,233000,233000,A,1,360,Romania,1878,1940,,,,
345,Yugoslavia (Serbia),1,1,1,2,Donau,240,240,Donau,796250,796250,179000,179000,233000,233000,A,1,360,Romania,1944,2016,,,,
345,Yugoslavia (Serbia),1,1,4,4,"Drina, Uvac, Lim, Ibar ",0,0,"Donau, ",796250,796250,0,0,0,0,"B,A,A,B",3,640,Turkey/Ottoman Empire,1878,1912,,,,
350,Greece,1,1,3,2,"Dospat, Maritsa","10, 15",25,"Nestos, Maritsa","8000, 56000",64000,"3600, 8700",12300,"4400, 32700",37100,"B,B",2,355,Bulgaria,1913,1940,,,,
350,Greece,1,1,2,2,"Dospat, Maritsa","10, 15",25,"Nestos, Maritsa","8000, 56000",64000,"3600, 8700",12300,"4400, 32700",37100,"B,B",2,355,Bulgaria,1944,2016,,,,
350,Greece,1,1,1,1,Maritsa,170,170,Maritsa,56000,56000,3600,3600,14600,14600,A,1,640,Turkey/Ottoman Empire,1828,1912,,,,
350,Greece,1,1,1,1,Maritsa,170,170,Maritsa,56000,56000,3600,3600,14600,14600,A,1,640,Turkey/Ottoman Empire,1919,1940,,,,
350,Greece,1,1,1,1,Maritsa,170,170,Maritsa,56000,56000,3600,3600,14600,14600,A,1,640,Turkey/Ottoman Empire,1944,2016,,,,
352,Kypros,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,Turkey/Ottoman Empire,1974,2016,,,,
355,Bulgaria,1,1,1,1,Donau,465,465,Donau,796250,796250,42500,42500,233000,233000,B,2,360,Romania,1908,2016,,,,
355,Bulgaria,1,1,2,4,"Tundzha, Rezvaya","15, 60",75,"Maritsa, Rezvaya","56000, 1100",57100,"32700, 300",33000,"14600, 800",15400,"A,B",3,640,Turkey/Ottoman Empire,1908,2016,,,,
359,Moldova,1,1,1,1,Prut,0,0,Donau,796250,796250,0,0,0,0,A,1,360,Romania,1991,2016,,,,
359,Moldova,1,1,4,4,"Dnestr, Kuchurgan, Kogilnik, Yalpug",0,0,0,0,0,0,0,0,0,"B,B,A,A",3,369,Ukraine,1991,2016,,,,
360,Romania,1,1,1,2,Dnestr,0,0,0,0,0,0,0,0,0,B,2,365,Russia (USSR),1878,1940,,,,
360,Romania,1,1,3,1,"Chilia, Tisa, Prut","165, 55, 435",655,Donau,796250,796250,233000,233000,41500,41500,"A,A,A",1,365,Russia (USSR),1944,1990,,,,
360,Romania,1,1,2,4,"Tisa, Prut",0,0,Donau,796250,796250,0,0,0,0,"A,A",1,369,Ukraine,1991,2016,,,,
360,Romania,1,1,3,4,"Arda, Maritsa, Thundzha",0,0,Maritsa,56000,56000,0,0,0,0,"A,A,A",1,640,Turkey/Ottoman Empire,1878,1907,,,,
365,Russia (USSR),1,1,2,4,"Narva, Pimza jògt",0,0,0,0,0,0,0,0,0,"A,B",3,366,Estonia,1918,1939,,,,
365,Russia (USSR),1,1,2,4,"Narva, Pimza jògt",0,0,0,0,0,0,0,0,0,"A,B",3,366,Estonia,1991,2016,,,,
365,Russia (USSR),1,1,2,4,"Kuhva, Sinjaja",0,0,0,0,0,0,0,0,0,"B,B",2,367,Latvia,1918,1939,,,,
365,Russia (USSR),1,1,2,4,"Kuhva, Sinjaja",0,0,0,0,0,0,0,0,0,"B,B",2,367,Latvia,1991,2016,,,,
365,Russia (USSR),1,1,3,4,"Neman, Vilnya, Disna",0,0,0,0,0,0,0,0,0,"A,A,A",1,368,Lithuania,1918,1919,,,,
365,Russia (USSR),1,1,3,4,"Neman, Vilnya, Disna",0,0,0,0,0,0,0,0,0,"A,A,A",1,368,Lithuania,1939,1939,,,,
365,Russia (USSR),1,1,3,4,"Neman, Vilnya, Disna",0,0,0,0,0,0,0,0,0,"A,A,A",1,368,Lithuania,1991,2016,,,,
365,Russia (USSR),1,1,20,4,"Styr, Goryn, Stviga, Ubort, Stokhad, Slovechna, Zhelon, Pripyat, Dnepr, Sozh, Snov, Desna, Seym, Vorskla, Donets, Oskol, Aydar, Derkul, Sev. Donets, Mius",0,0,0,0,0,0,0,0,0,"B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B",2,369,Ukraine,1991,2016,,,,
365,Russia (USSR),1,1,11,4,"Velikaya, Drissa, Obol, Mezha, Lovat, Gobza, Dnepr, Sozh, Besed, Iput, Oster ",0,0,0,0,0,0,0,0,0,"A,A,A,A,A,A,A,A,A,B,A",1,370,Belarus,1991,2016,,,,
365,Russia (USSR),1,1,3,4,"Terek, Argun, Andiyskoye",0,0,0,0,0,0,0,0,0,"B,B,B",2,372,Georgia,1991,2016,,,,
365,Russia (USSR),1,1,1,1,Samur,0,0,0,0,0,0,0,0,0,A,1,373,Azerbaijan,1991,2016,,,,
365,Russia (USSR),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,Finland,1917,2016,,,,
365,Russia (USSR),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,Sweden,1816,1916,,,,
365,Russia (USSR),1,1,2,4,"Passvik, Jakobselv","105, 40",145,"Pasvikelva, Jakobselva","19300, 240",19540,"1500, 80",1580,"3300, 160",3460,"B,B",2,385,Norway,1905,1916,,,,
365,Russia (USSR),1,1,2,4,"Passvik, Jakobselv","105, 40",145,"Pasvikelva, Jakobselva","19300, 240",19540,"1500, 80",1580,"3300, 160",3460,"B,B",2,385,Norway,1947,2016,,,,
365,Russia (USSR),1,1,6,4,"Arkas, Bolgar, Atrak, Chandyr, Tedzhen, Sumbar ",0,0,Atrek,6100,6100,20000,20000,41000,41000,"A,B,A,B,A,A",1,630,Iran (Persia),1855,1990,,,,
365,Russia (USSR),1,1,5,4,"Goruh, Kora, Arpa, Aras, Arpilich",0,0,Coruh,21000,21000,1700,1700,19300,19300,"B,B,B,B,A",2,640,Turkey/Ottoman Empire,1816,1990,,,,
365,Russia (USSR),1,1,6,4,"Kushka, Murghab, Qaisar, Pyandzh, Famir, Okstu",0,0,Murgab,73000,73000,43000,43000,30000,30000,"B,B,A,B,A,B",2,700,Afghanistan,1920,1990,,,,
365,Russia (USSR),1,1,12,4,"Malyy Uzen, Bol Uzen, Chagan, Salmysh, Mal Uzen, Bol Uzen, Ural, Ilek, Tobol, Uy, Aley, Bol Irgiz",0,0,0,0,0,0,0,0,0,"B,B,A,A,B,A,A,A,A,A,A,B",1,705,Kazakhstan,1991,2016,,,,
365,Russia (USSR),1,1,14,4,"Gaya He, Suifen He, Muling He, Songacha He, Ussuri, Amur, Kaba He, Ertix He, Emin He, Ili He, Tekes He, Aksu He, Toxkan He, Kaxgar He",0,0,Ili,176000,176000,111000,111000,65000,65000,"B,B,B,A,BA,A,B,B,B,A,A,A,A",3,710,China,1860,2016,,,,
365,Russia (USSR),1,1,6,4,"Onon Gol, Menza, Chikov, Orhon Gol, Shishhid Gol, Tesin Gol",0,0,0,0,0,0,0,0,0,"B,B,A,B,B,B",2,712,Mongolia,1921,2016,,,,
365,Russia (USSR),1,1,1,1,Gaya He,0,0,0,0,0,0,0,0,0,B,2,730,Korea,1888,1904,,,,
365,Russia (USSR),1,1,1,1,Gaya He,0,0,0,0,0,0,0,0,0,B,2,731,"Korea, Dem. People's Rep.",1948,2016,,,,
366,Estonia,1,1,1,1,Gauja,0,0,0,0,0,0,0,0,0,B,2,367,Latvia,1918,1939,,,,
366,Estonia,1,1,1,1,Gauja,0,0,0,0,0,0,0,0,0,B,2,367,Latvia,1991,2016,,,,
367,Latvia,1,1,2,4,"Venta, Lielupe",0,0,0,0,0,0,0,0,0,"B,B",2,368,Lithuania,1918,1939,,,,
367,Latvia,1,1,2,4,"Venta, Lielupe",0,0,0,0,0,0,0,0,0,"B,B",2,368,Lithuania,1991,2016,,,,
367,Latvia,1,1,1,2,Dvina,0,0,0,0,0,0,0,0,0,B,2,370,Belarus,1991,2016,,,,
368,Lithuania,1,1,3,4,"Disna, Vilnya, Neman",0,0,0,0,0,0,0,0,0,"A,B,B",2,370,Belarus,1991,2016,,,,
369,Ukraine,1,1,8,4,"Pripyat, Styr, Goryn, Stiga, Ubort, Slovechna, Zhelon, Dnepr",0,0,0,0,0,0,0,0,0,"B,B,B,B,B,B,B,B",2,370,Belarus,1991,2016,,,,
371,Armenia,1,1,1,2,Debet,0,0,0,0,0,0,0,0,0,A,1,372,Georgia,1991,2016,,,,
371,Armenia,1,1,2,4,"Vorotan, Dzegam",0,0,0,0,0,0,0,0,0,"B,B",2,373,Azerbaijan,1991,2016,,,,
371,Armenia,1,1,1,1,Araks,0,0,0,0,0,0,0,0,0,A,1,630,Iran (Persia),1991,2016,,,,
371,Armenia,1,1,2,1,"Araks, Arpa",0,0,0,0,0,0,0,0,0,"B,B",2,640,Turkey/Ottoman Empire,1991,2016,,,,
372,Georgia,1,1,3,4,"Alazani, Iora, Kura",0,0,0,0,0,0,0,0,0,"A,A,A",1,373,Azerbaijan,1991,2016,,,,
372,Georgia,1,1,2,4,"Kora, Coruh",0,0,0,0,0,0,0,0,0,"B,B",2,640,Turkey/Ottoman Empire,1991,2016,,,,
373,Azerbaijan,1,1,2,4,"Araks, Bolgar",0,0,0,0,0,0,0,0,0,"B,B",2,630,Iran (Persia),1991,2016,,,,
373,Azerbaijan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,Turkey/Ottoman Empire,1991,2016,,,,
375,Finland,1,1,3,1,"Torne, Muonio, Konkämä","175, 240, 110",525,Torne,32400,32400,9500,9500,22900,22900," B,B,B",2,380,Sweden,1917,2016,,,,
375,Finland,1,1,3,1,"Tana,  Skiehccanjohka, Anàrjohka","140, 60, 80",280,Tana ,13000,13000,6100,6100,6900,6900,"B,B,B",2,385,Norway,1917,1939,,,,
375,Finland,1,1,3,1,"Tana,  Skiehccanjohka, Anàrjohka","140, 60, 80",280,Tana,13000,13000,6100,6100,6900,6900,"B,B,B",2,385,Norway,1945,2016,,,,
380,Sweden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,Norway,1905,1939,,,,
380,Sweden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,Norway,1945,2016,,,,
404,Guinea-Bissau,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,Senegal,1974,2016,,,,
404,Guinea-Bissau,1,1,1,2,Corubal,40,40,Corubal,22000,22000,8000,8000,14000,14000,B,2,438,Guinea,1974,2016,,,,
411,Equatorial Guinea,1,1,1,1,Ntem,55,55,Ntem,33000,33000,5000,5000,9000,9000,A,1,471,Cameroon,1968,2016,,,,
411,Equatorial Guinea,1,1,3,4,"Woleu, Utamboni, Kye","10, 10, 65",85,"Benito, Utamboni, Ntem","15900, 12800, 33000",61700,"14000, 7000, 5000",26000,"1900, 5800, 9000",16700,"B,A,A",1,481,Gabon,1968,2016,,,,
420,Gambia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,Senegal,1965,2016,,,,
432,Mali,1,1,1,1,Falèmè,210,210,Senegal,353000,353000,163000,163000,64000,64000,A,1,433,Senegal,1960,2016,,,,
432,Mali,1,1,3,4,"Senegal, Karakoro, Kolimbine","20, 110, 60",190,Senegal,353000,353000,163000,163000,93000,93000,"A,B,B",2,435,Mauritania,1960,2016,,,,
432,Mali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,Niger,1960,2016,,,,
432,Mali,1,1,2,2,"Bagoè, Kankèlaba","40, 20",60,Niger,2200000,2200000,620000,620000,25000,25000,"B,B",2,437,Ivory Coast,1960,2016,,,,
432,Mali,1,1,5,4,"Sankarani, Bafing, Falèmè, Bakoy, Bakoy","80, 50, 50, 35, 40",255,"Niger, Senegal","2200000, 353000",2553000,"620000, 163000",783000,"95000, 33000",128000,"B,B,B,B,B",2,438,Guinea,1960,2016,,,,
432,Mali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,Burkina Faso (Upper Volta),1960,2016,,,,
432,Mali,1,1,1,2,Akantarer,110,110,Niger,2200000,2200000,620000,620000,148300,148300,B,2,615,Algeria,1962,2016,,,,
433,Senegal,1,1,1,1,Senegal,650,650,Senegal,353000,353000,64000,64000,93000,93000,A,1,435,Mauritania,1960,2016,,,,
433,Senegal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,Guinea,1960,2016,,,,
434,Benin/Dahomey,1,1,1,1,Niger/Mekrou,215,215,Niger,2200000,2200000,50000,50000,490000,490000,B,2,436,Niger,1960,2016,,,,
434,Benin/Dahomey,1,1,2,4,"Mekrou, Pendjari","45, 205",250,"Niger, Volta","2200000, 379000",2579000,"50000, 10500",60500,"81700, 172500",254200,"A,A",1,439,Burkina Faso (Upper Volta),1960,2016,,,,
434,Benin/Dahomey,1,1,2,2,"Pendjari, Mono","15, 90",105,"Volta, Mono","379000, 25600",404600,"10500, 3800",14300,"19000, 21800",40800,"A,B",3,461,Togo,1960,2016,,,,
434,Benin/Dahomey,1,1,1,1,Okpara,155,155,Ouèmè,45500,45500,40500,40500,2500,2500,A,1,475,Nigeria,1960,2016,,,,
435,Mauritania,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,Marokko,1976,2016,,,,
435,Mauritania,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,Algeria,1962,2016,,,,
436,Niger,1,1,1,2,Tapoa,20,20,Niger,2200000,2200000,490000,490000,81700,81700,A,1,439,Burkina Faso (Upper Volta),1960,2016,,,,
436,Niger,1,1,1,1,Kamadongou Yobe,220,220,Lake Chad,1910000,1910000,416000,416000,176000,176000,B,2,475,Nigeria,1960,2016,,,,
436,Niger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,Chad,1960,2016,,,,
436,Niger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,Algeria,1962,2016,,,,
436,Niger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,Libya,1960,2016,,,,
437,Ivory Coast,1,1,3,1,"Gbanhala, Bagbè, Boa","115, 85, 15",215,"Niger, Sassandra","2200000, 77500",2277500,"25000, 70000",95000,"95000, 7500",102500,"B,B,B",2,438,Guinea,1960,2016,,,,
437,Ivory Coast,1,1,1,1,Lèraba,235,235,Komoè,75000,75000,55000,55000,20000,20000,B,2,439,Burkina Faso (Upper Volta),1960,2016,,,,
437,Ivory Coast,1,1,3,2,"Cestos, Nuon, Cavally","15, 100, 370",485,"Cestos, Cavally","125000, 23500",148500,"2500, 12500",15000,"9400, 9000",18400,"B,A,B",2,450,Liberia,1960,2016,,,,
437,Ivory Coast,1,1,2,1,"Black Volta, Tano","90, 80",170,"Volta, Tano","379000, 14000",393000,"13000, 2000",15000,"159000, 12000",171000,"B,B",2,452,Ghana,1960,2016,,,,
438,Guinea,1,1,3,2,"St. Paul, Oulè, St. John(Mani)","70, 30, 95",195,"St. Paul, St.John","18000, 13500",31500,"6000, 13500",19500,"12000, 11000",23000,"A,A,A",1,450,Liberia,1958,2016,,,,
438,Guinea,1,1,4,1,"Meli, Moa, Great Scarcies","100, 70, 90",260,"Moa, Great Scarcies","20000, 8500",28500,"10500, 6000 ",16500,"8800, 2500",11300,"A,A",1,451,Sierra Leone,1961,2016,,,,
439,BurChina Faso (Upper Volta),1,1,1,2,Black Volta,185,185,Volta,379000,379000,172500,172500,159000,159000,B,2,452,Ghana,1960,2016,,,,
439,BurChina Faso (Upper Volta),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,Togo,1960,2016,,,,
450,Liberia,1,1,4,4,"Moa, Bwedy, Mano, Marro","60, 30, 90, 85",265,"Moa, Mano-Morro","20000, 10000",30000,"700, 7500",8200,"8800, 2500",11300,"A,A,A,A",1,451,Sierra Leone,1961,2016,,,,
452,Ghana,1,1,2,2,"Oti, Mo","140, 20",160,Volta,379000,379000,159000,159000,19000,19000,"B,B",2,461,Togo,1960,2016,,,,
471,Cameroon,1,1,8,4,"Donga, Deo, El Beid, Katia, Cross, Katsina, Awa, Akpa","65, 60, 110, 55, 15,  60, 60",425,"Niger, Lake Chad, Cross","2200000, 1910000, 57000",4167000,"90000, 53020, 12000",155020,"580000, 176000, 45000",801000,"B,A,A,A,A,A,A,B",1,475,Nigeria,1960,2016,,,,
471,Cameroon,1,1,4,1,"Aïna, Ntem, Kom, Kye","100, 35, 70, 15",220,"Ogoouè, Ntem","220700, 33000",253700,"4400, 19000",23400,"19300, 9000",28300,"A,B,A,B",3,481,Gabon,1960,2016,,,,
